Player,Position,NFLTeam,Bye,CBS ADP,CBS Rank,FFC ADP,Rank
Jahmyr Gibbs,RB,DET,6,1.33,1,1.8,1
Ja'Marr Chase,WR,CIN,6,3.81,3,3.9,2
Puka Nacua,WR,LAR,11,4.75,4,3.1,3
Jaxon Smith-Njigba,WR,SEA,11,6.44,5,5.5,4
Amon-Ra St. Brown,WR,DET,6,8.69,6,6.7,5
Jonathan Taylor,RB,IND,13,5.52,7,7.4,6
Christian McCaffrey,RB,SF,8,6.59,8,6.2,7
Chase Brown,RB,CIN,6,13.55,9,13.1,8
CeeDee Lamb,WR,DAL,14,14.07,10,11.1,9
James Cook III,RB,BUF,7,11.87,11,13.6,10
De'Von Achane,RB,MIA,6,11.32,12,10.3,11
Ashton Jeanty,RB,LV,13,12.73,13,14.4,12
Omarion Hampton,RB,LAC,7,17.91,14,19.9,13
Drake London,WR,ATL,11,16.92,15,10.2,14
Justin Jefferson,WR,MIN,6,16.28,16,13.9,15
Kenneth Walker,RB,KC,5,21.81,17,25.2,16
Saquon Barkley,RB,PHI,10,14.17,18,20.0,17
Derrick Henry,RB,BAL,13,14.84,19,16.6,18
George Pickens,WR,DAL,14,22.76,20,20.2,19
Nico Collins,WR,HOU,8,26.48,21,23.1,20
Rashee Rice,WR,KC,5,22.61,22,13.6,21
A.J. Brown,WR,NE,11,23.29,23,17.3,22
Brock Bowers,TE,LV,13,27.31,24,39.7,23
Chris Olave,WR,NO,8,28.77,25,21.4,24
Malik Nabers,WR,NYG,8,33.0,26,29.5,25
Trey McBride,TE,ARI,14,27.27,27,33.4,26
DeVonta Smith,WR,PHI,10,36.55,28,28.8,27
Tee Higgins,WR,CIN,6,38.99,29,37.2,28
Emeka Egbuka,WR,TB,10,37.13,30,36.0,29
Zay Flowers,WR,BAL,13,37.6,31,25.6,30
Josh Jacobs,RB,GB,11,26.63,32,27.8,31
Kyren Williams,RB,LAR,11,26.89,34,33.2,32
Josh Allen,QB,BUF,7,21.54,35,28.8,33
Colston Loveland,TE,CHI,10,46.52,36,58.8,34
Breece Hall,RB,NYJ,13,31.95,38,28.0,35
Ladd McConkey,WR,LAC,7,45.04,39,42.0,36
Tetairoa McMillan,WR,CAR,5,44.13,40,33.9,37
Jaylen Waddle,WR,DEN,10,52.76,41,46.6,38
Cam Skattebo,RB,NYG,8,32.21,42,32.9,39
Garrett Wilson,WR,NYJ,13,47.44,43,28.2,40
Lamar Jackson,QB,BAL,13,42.73,44,54.5,41
Quinshon Judkins,RB,CLE,11,48.55,45,51.0,42
DJ Moore,WR,BUF,7,62.28,46,52.0,43
Luther Burden III,WR,CHI,10,57.69,47,56.8,44
D'Andre Swift,RB,CHI,10,42.36,48,45.3,45
Terry McLaurin,WR,WAS,7,52.61,49,44.6,46
Travis Etienne Jr.,RB,NO,8,41.97,50,40.7,47
Tyler Warren,TE,IND,13,54.81,51,65.2,48
Drake Maye,QB,NE,11,52.78,52,50.0,49
Bucky Irving,RB,TB,10,41.44,53,44.4,50
Joe Burrow,QB,CIN,6,52.91,54,56.3,51
Davante Adams,WR,LAR,11,57.29,55,41.2,52
Sam LaPorta,TE,DET,6,68.11,56,88.0,53
Jayden Daniels,QB,WAS,7,63.05,57,70.0,54
Parker Washington,WR,JAX,7,83.27,58,68.6,55
Bhayshul Tuten,RB,JAX,7,56.69,59,53.9,56
David Montgomery,RB,HOU,8,58.13,60,63.9,57
Javonte Williams,RB,DAL,14,35.03,61,36.8,58
Rome Odunze,WR,CHI,10,63.67,62,49.2,59
Christian Watson,WR,GB,11,72.37,63,67.0,60
Brian Thomas Jr.,WR,JAX,7,81.57,64,75.7,61
Tucker Kraft,TE,GB,11,74.85,65,104.2,62
Jalen Hurts,QB,PHI,10,71.66,66,77.0,63
Mike Evans,WR,SF,8,65.04,67,56.6,64
Tony Pollard,RB,TEN,9,75.4,68,66.9,65
Marvin Harrison Jr.,WR,ARI,14,75.03,69,64.4,66
Jadarian Price,RB,SEA,11,62.05,70,75.2,67
TreVeyon Henderson,RB,NE,11,60.68,71,57.9,68
Kyle Pitts Sr.,TE,ATL,11,70.37,72,77.6,69
Rhamondre Stevenson,RB,NE,11,84.73,73,70.9,70
Rico Dowdle,RB,PIT,9,74.99,74,70.5,71
Jonathon Brooks,RB,CAR,5,102.93,75,108.8,72
Carnell Tate,WR,TEN,9,82.57,76,75.6,73
Josh Downs,WR,IND,13,104.8,77,86.9,74
Chris Godwin Jr.,WR,TB,10,96.01,78,87.4,75
Isaiah Likely,TE,NYG,8,95.51,79,133.0,76
Jaylen Warren,RB,PIT,9,78.36,80,66.8,77
Dak Prescott,QB,DAL,14,63.0,81,65.5,78
Harold Fannin Jr.,TE,CLE,11,81.35,82,80.8,79
Courtland Sutton,WR,DEN,10,77.38,83,60.1,80
Justin Herbert,QB,LAC,7,86.99,84,104.3,81
Jacory Croskey-Merritt,RB,WAS,7,104.14,85,112.6,82
Quentin Johnston,WR,LAC,7,97.96,86,93.9,83
Alec Pierce,WR,IND,13,69.97,87,57.6,84
Jordan Addison,WR,MIN,6,113.48,88,101.8,85
J.K. Dobbins,RB,DEN,10,92.3,89,95.5,86
DK Metcalf,WR,PIT,9,87.62,90,65.2,87
Michael Wilson,WR,ARI,14,103.59,91,83.8,88
Stefon Diggs,WR,WAS,7,123.75,92,92.5,89
Trevor Lawrence,QB,JAX,7,94.47,93,90.8,90
Jordan Mason,RB,MIN,6,107.53,94,123.4,91
Jordyn Tyson,WR,NO,8,99.99,95,91.6,92
Caleb Williams,QB,CHI,10,81.65,96,101.1,93
Blake Corum,RB,LAR,11,107.0,97,122.5,94
Travis Kelce,TE,KC,5,101.38,98,107.5,95
Kyle Monangai,RB,CHI,10,101.64,99,107.8,96
Kenneth Gainwell,UNK,UNK,999,101.32,100,999.0,97
Wan'Dale Robinson,WR,TEN,9,93.55,101,77.9,98
Michael Pittman Jr.,WR,PIT,9,110.56,102,72.9,99
RJ Harvey,RB,DEN,10,78.89,103,83.5,100
Deebo Samuel Sr.,WR,SF,8,124.15,104,104.8,101
Rachaad White,RB,WAS,7,115.93,105,103.0,102
Jaxson Dart,QB,NYG,8,94.15,106,105.2,103
Chuba Hubbard,RB,CAR,5,84.11,107,75.0,104
Jalen Coker,WR,CAR,5,140.48,108,125.1,105
Jakobi Meyers,WR,JAX,7,105.43,109,80.6,106
Jayden Reed,WR,GB,11,123.75,110,95.1,107
KC Concepcion,WR,CLE,11,123.92,111,129.2,108
George Kittle,TE,SF,8,93.3,112,112.8,109
Jared Goff,QB,DET,6,116.33,113,107.0,110
Brock Purdy,QB,SF,8,102.8,114,83.6,111
Makai Lemon,WR,PHI,10,112.85,115,109.2,112
Tyrone Tracy Jr.,RB,NYG,8,124.15,116,152.7,113
Chris Rodriguez Jr.,RB,JAX,7,130.33,117,162.1,114
Xavier Worthy,WR,KC,5,124.9,118,106.9,115
Dallas Goedert,TE,PHI,10,85.67,119,113.1,116
